Postcode,Lat,Lon,Average Price
BD220BB,53.884537,-2.040844,59250.0
BD220BG,53.884106,-2.040889,94500.0
BD109PD,53.834729,-1.730802,119000.0
BD205RN,53.874493,-1.865515,180750.0
BD59QB,53.771651,-1.764431,96000.0
BD87JR,53.803223,-1.758713,67000.0
BD229PH,53.829678,-1.942809,160000.0
BD220BY,53.884113,-2.045042,188000.0
BD131AT,53.768576,-1.840714,50000.0
BD176ET,53.849823,-1.753049,75000.0
BD73AD,53.788558,-1.774567,105000.0
BD108BY,53.824272,-1.728697,74950.0
BD61DU,53.759519,-1.765531,122000.0
BD208LF,53.917583,-2.006209,297000.0
BD58AJ,53.769682,-1.734008,190000.0
BD73AN,53.787995,-1.776027,73500.0
BD49BX,53.774140,-1.710932,84000.0
BD184RB,53.830584,-1.793166,168000.0
BD72HN,53.786574,-1.785566,30000.0
BD111LN,53.758255,-1.658259,320000.0
BD229NS,53.805453,-1.937891,220000.0
BD163HW,53.863026,-1.844477,159950.0
BD111LR,53.758938,-1.658192,122499.5
BD209EH,53.933752,-1.999236,200000.0
BD161DL,53.844585,-1.832477,105000.0
BD175DG,53.845287,-1.787592,250000.0
BD231NA,53.966087,-2.027786,525000.0
BD176LJ,53.857245,-1.765821,189000.0
BD63AR,53.770514,-1.781233,110500.0
BD177PQ,53.841812,-1.774585,102950.0
BD176LQ,53.856412,-1.767133,218000.0
BD175DW,53.846819,-1.784909,315000.0
BD176LY,53.853981,-1.764715,93000.0
BD58JA,53.769551,-1.757419,103000.0
BD162HA,53.861223,-1.847342,80000.0
BD236QX,53.977432,-1.989615,390000.0
BD108RZ,53.834514,-1.739024,195000.0
BD108RX,53.836904,-1.734708,210000.0
BD164RJ,53.845092,-1.822899,96000.0
BD108RG,53.834086,-1.736474,200000.0
BD63SH,53.769859,-1.797106,81800.0
BD24EP,53.817583,-1.736045,134000.0
BD207TB,53.900559,-1.984398,180000.0
BD226LG,53.859561,-1.939454,161500.0
BD227SB,53.848405,-1.957862,224000.0
BD220PW,53.866379,-1.951595,160000.0
BD59AN,53.773807,-1.773508,110000.0
BD235BU,54.071505,-2.008037,400000.0
BD200HT,53.911443,-1.930885,137500.0
BD24EB,53.816234,-1.744043,269350.0
BD233EN,53.942937,-2.047179,220000.0
BD220PH,53.864286,-1.953969,232500.0
BD226LY,53.857849,-1.932053,220000.0
BD227SS,53.847479,-1.956267,132500.0
BD220RS,53.840861,-1.975818,330000.0
BD23PS,53.811044,-1.718060,38000.0
BD109HB,53.828034,-1.719132,124995.0
BD57HD,53.779527,-1.752672,43500.0
BD214EU,53.877282,-1.885340,86000.0
BD232PJ,53.958449,-2.016442,92200.0
BD214EX,53.877370,-1.883956,139000.0
BD57HL,53.779029,-1.750793,85000.0
BD195NP,53.718196,-1.713452,178500.0
BD96LS,53.816215,-1.811478,149000.0
BD133DQ,53.792092,-1.830318,106000.0
BD96LY,53.815871,-1.804645,220000.0
BD181GA,53.837439,-1.753715,89995.0
BD146PA,53.780965,-1.824186,100000.0
BD195EY,53.723057,-1.716616,110000.0
BD59HS,53.776450,-1.773721,42000.0
BD231QG,53.963805,-2.024325,205000.0
BD128LE,53.737212,-1.770779,118500.0
BD235PS,54.105804,-2.040574,860000.0
BD212PT,53.869039,-1.917070,33000.0
BD109TT,53.835898,-1.718942,198000.0
BD146LH,53.779678,-1.811202,61000.0
BD61QX,53.767545,-1.774861,63000.0
